reference,k_index,coordinate_fractional,band_index,reference_eigenvalue_ha,qe_eigenvalue_ha,reference_occupation,qe_occupation,reference_group,occupation_classification_matches,raw_difference_ha,raw_difference_ev,global_reference_difference_ha,global_reference_difference_ev
A,1,"[0.0,0.0,0.0]",17,0.05640445887870069,0.06559166867108765,1.4528799718635568e-59,1.114615299164162e-59,empty,True,-0.009187209792386956,-0.2499967141835004,1.4352241613502237e-06,3.905443900406509e-05
A,1,"[0.0,0.0,0.0]",18,0.05640445887870122,0.06559166867109256,1.4528799718627724e-59,1.114615299158649e-59,empty,True,-0.009187209792391342,-0.2499967141836197,1.4352241569648427e-06,3.90544388847328e-05
A,1,"[0.0,0.0,0.0]",19,0.0935401413099737,0.102721262246463,1.0824498270705563e-75,8.355018094299786e-76,empty,True,-0.00918112093648929,-0.24983102797387285,7.524080058995963e-06,0.00020474064863102267
A,1,"[0.0,0.0,0.0]",20,0.09354014130997401,0.102721262246481,1.0824498270702486e-75,8.355018094148996e-76,empty,True,-0.009181120936506984,-0.24983102797435433,7.524080041343417e-06,0.00020474064815067242
A,1,"[0.0,0.0,0.0]",21,0.09368651173605327,0.1028746780713892,9.350609212623305e-76,7.166708637215161e-76,empty,True,-0.009188166335335923,-0.2500227430431456,4.786812123902529e-07,1.3025579359045637e-05
A,1,"[0.0,0.0,0.0]",22,0.0936865117360534,0.1028746780714127,9.350609212622241e-76,7.166708637046506e-76,empty,True,-0.009188166335359307,-0.2500227430437819,4.786811890200582e-07,1.3025578723110242e-05
A,1,"[0.0,0.0,0.0]",23,0.24479163479039995,0.2539729726592948,2.221870675935859e-141,0.0,empty,True,-0.009181337868894857,-0.24983693100535,7.307147653401458e-06,0.00019883761715312078
A,1,"[0.0,0.0,0.0]",24,0.24479163479040025,0.2539729727649595,2.2218706759351014e-141,0.0,empty,True,-0.00918133797455925,-0.24983693388062464,7.307041989035312e-06,0.00019883474187924115
A,2,"[0.125,0.0625,-0.1875]",1,-3.2990329996765553,-3.289853169577079,1.0,1.0,occupied,True,-0.009179830099476316,-0.24979590250933223,8.814917071831019e-06,0.0002398661131678857
A,2,"[0.125,0.0625,-0.1875]",2,-3.299032999612321,-3.289853169487347,1.0,1.0,occupied,True,-0.009179830124973698,-0.24979590320315134,8.814891574449035e-06,0.0002398654193487763
A,2,"[0.125,0.0625,-0.1875]",3,-1.6698394183222016,-1.660668305506525,1.0,1.0,occupied,True,-0.009171112815676619,-0.24955869313284282,1.7532200871528403e-05,0.0004770754896572841
A,2,"[0.125,0.0625,-0.1875]",4,-1.6698392843971483,-1.660667837996385,1.0,1.0,occupied,True,-0.009171446400763283,-0.24956777044548195,1.719861578486359e-05,0.00046799817701814885
A,2,"[0.125,0.0625,-0.1875]",5,-1.661747302440199,-1.652578634576126,1.0,1.0,occupied,True,-0.009168667864072999,-0.249492162610404,1.9977152475147975e-05,0.0005436060120961069
A,2,"[0.125,0.0625,-0.1875]",6,-1.6617472310303003,-1.652578307101512,1.0,1.0,occupied,True,-0.009168923928788208,-0.24949913048627353,1.9721087759938527e-05,0.0005366381362265755
A,2,"[0.125,0.0625,-0.1875]",7,-1.6580719649958693,-1.648907956083684,1.0,1.0,occupied,True,-0.009164008912185384,-0.24936538607108866,2.463610436276298e-05,0.000670382551411441
A,2,"[0.125,0.0625,-0.1875]",8,-1.6580718689108604,-1.648907325718074,1.0,1.0,occupied,True,-0.009164543192786478,-0.2493799245868888,2.4101823761668584e-05,0.0006558440356113265
A,2,"[0.125,0.0625,-0.1875]",9,-0.16186113476060232,-0.1526724901708458,1.0,1.0,occupied,True,-0.009188644589756517,-0.25003575700890823,4.267917963485246e-10,1.1613596417055767e-08
A,2,"[0.125,0.0625,-0.1875]",10,-0.16186113205372782,-0.1526724870371794,1.0,1.0,occupied,True,-0.009188645016548425,-0.25003576862250765,-1.1102230246251565e-16,-3.021070754225641e-15
A,2,"[0.125,0.0625,-0.1875]",11,0.0037121043859559932,0.01289852182662241,1.1123168896561833e-36,8.540197387322214e-37,empty,True,-0.009186417440666417,-0.24997515319479013,2.227575881891264e-06,6.061542771437493e-05
A,2,"[0.125,0.0625,-0.1875]",12,0.0037121454479717678,0.01289860859435659,1.1122712166202253e-36,8.539456405892739e-37,empty,True,-0.009186463146384823,-0.24997639691074733,2.18187016348681e-06,5.9371711757221295e-05
A,2,"[0.125,0.0625,-0.1875]",13,0.02693991012905654,0.03612597188764144,9.089095586253558e-47,6.980949853815035e-47,empty,True,-0.009186061758584899,-0.24996547459228916,2.5832579634010866e-06,7.029403021511322e-05
A,2,"[0.125,0.0625,-0.1875]",14,0.026939963896242296,0.03612605507521754,9.088606904300412e-47,6.980369149671773e-47,empty,True,-0.009186091178975241,-0.24996627516189426,2.55383757305494e-06,6.94934606098967e-05
A,2,"[0.125,0.0625,-0.1875]",15,0.04715369760336567,0.05633573850648056,1.5128097410396e-55,1.166606509063132e-55,empty,True,-0.00918204090311489,-0.2498560615410555,6.604113433394954e-06,0.0001797070814483818
